Marca,Modelo,Fecha_Publicacion,Peso_Mujer,Peso_Hombre,Precio,Drop,Perfil_Anterior,Perfil_Posterior,taco,terreno_categoria,distancia_categoria,corredor_categoria,durabilidad_categoria,upper_categoria,mediasuela_categoria,suela_categoria,placa
New Balance,Fresh Foam Hierro v8 GTX,2024-12-12,260.0,325.0,180.0,6.0,26.0,32.0,,Fácil/Rodador,Ultra,Medio,Media,Membrana,EVA Modificada (OBC/Goma),Vibram,
Kailas,Fuga Pro 4,2024-12-09,214.0,265.0,210.0,8.0,24.0,32.0,4.0,Polivalente,Maratón,Medio,Alta,,EVA Convencional,Vibram,Antirrocas
La Sportiva,Levante,2024-12-03,210.0,,,6.0,,,,Compacto/Roca,Media,Ligero,Media,,Supercrítico,La Sportiva Frixion,
Salomon,Vision,2024-11-28,300.0,300.0,160.0,8.0,19.0,27.0,4.5,Polivalente,Media,Medio,Alta,Keblar,TPU,Salomon Contagrip,
Nike,Zegama 2,2024-11-26,264.0,320.0,179.99,4.0,32.0,36.0,,Polivalente,Ultra,Medio,Media,,PEBA,Vibram,
Topo Athletic,Traverse,2024-11-18,247.0,302.0,175.0,5.0,30.0,35.0,5.0,Polivalente,Larga,Medio,Alta,Malla,EVA Convencional,Vibram,Antirrocas
Hoka,Tecton X 3,2024-11-10,223.0,286.0,250.0,5.0,35.0,40.0,4.0,Fácil/Rodador,Ultra,Ligero,Media,Keblar,PEBA,Vibram,Carbono
New Balance,Fresh Foam Hierro v8,2024-10-24,252.0,318.0,160.0,6.0,26.0,32.0,,Polivalente,Ultra,Medio,Baja,Malla,EVA Modificada (OBC/Goma),Vibram,
Haglöfs,L.I.M Intense Trail Low,2024-10-15,180.0,230.0,170.0,5.0,15.0,20.0,,Técnico,Media,Ligero,Alta,Hilo,Supercrítico,,Pebax
Brooks,Cascadia 18,2024-10-03,281.0,315.0,150.0,8.0,25.0,33.0,,Polivalente,Larga,Pesado,Media,,Supercrítico,Brooks Trailtack,TPU
Altra,Olympus 6,2024-09-22,289.0,345.0,180.0,0.0,33.0,33.0,4.0,Polivalente,Ultra,Pesado,Alta,,,Vibram,
Merrell,MTL Skyfire 2 Matryx,2024-09-15,210.0,210.0,200.0,6.0,18.0,22.0,5.0,Técnico,Corta,Ligero,Media,Keblar,EVA Convencional,Vibram,
VJ,Lightspeed,2024-08-15,220.0,220.0,199.0,6.0,23.0,29.0,3.5,Compacto/Roca,Maratón,Medio,Media,Hilo,PEBA,,
Haglöfs,L.I.M Tempo Trail Low,2024-08-06,223.0,276.0,140.0,8.0,17.0,25.0,,Polivalente,Maratón,Medio,Alta,Tela,EVA Bio/Orgánica,,
Salomon,S-Lab Pulsar 3,2024-08-01,205.0,205.0,200.0,6.0,18.0,24.0,4.3,Técnico,Corta,Ligero,Alta,Keblar,,Salomon Contagrip,Carbono
Hoka,Speedgoat 6,2024-07-25,232.0,278.0,160.0,5.0,35.0,40.0,5.0,Polivalente,Ultra,Medio,Media,Malla,EVA Convencional,Vibram,
Lowa,Fortux,2024-07-22,275.0,315.0,160.0,6.0,26.5,32.5,4.5,Polivalente,Larga,Medio,Baja,,,,
Altra,Mont Blanc Carbon,2024-07-21,249.0,309.0,250.0,0.0,30.0,30.0,,Fácil/Rodador,Ultra,Ligero,Media,Hilo,,Vibram,Carbono
Brooks,Catamount Agil,2024-07-16,218.0,218.0,180.0,6.0,16.0,22.0,4.5,Compacto/Roca,Corta,Ligero,Media,Malla,Supercrítico,Brooks Trailtack,
Atom,K4,2024-07-15,245.0,310.0,105.0,6.0,29.0,35.0,4.5,Polivalente,Media,Medio,Alta,Malla,,Atom,
Lowa,Citux,2024-07-10,205.0,250.0,170.0,4.0,17.5,21.5,4.5,Técnico,Corta,Ligero,Alta,Hilo,EVA Convencional,Lowa,Carbono
Merrell,Agility Peak 5,2024-06-27,235.0,285.0,160.0,6.0,26.0,31.0,5.0,Polivalente,Ultra,Pesado,Media,Hilo,EVA Convencional,Vibram,
Salomon,Ultra Flow,2024-06-18,222.0,244.0,130.0,6.0,26.0,32.0,3.5,Fácil/Rodador,Larga,Medio,Alta,Malla,,Salomon Contagrip,
VJ,MAXx 2,2024-06-12,240.0,240.0,179.0,6.0,25.0,31.0,4.0,Polivalente,Maratón,Medio,Media,,EVA Convencional,,TPU
Lowa,Amplux,2024-06-10,260.0,300.0,170.0,6.0,18.5,24.5,45.0,Polivalente,Media,Medio,Alta,,EVA Convencional,Lowa,Carbono
Topo Athletic,MT-5,2024-06-06,218.0,264.0,150.0,5.0,23.0,28.0,,Polivalente,Media,Medio,Media,Tela,EVA Modificada (OBC/Goma),Vibram,
Mizuno,Wave Mujin 10,2024-06-03,290.0,340.0,160.0,8.0,30.0,38.0,,Polivalente,Ultra,Pesado,Alta,,,Vibram,Carbono
Scarpa,Spin Race,2024-06-02,215.0,215.0,199.0,4.0,14.0,18.0,3.5,Técnico,Corta,Ligero,Alta,Keblar,,Vibram,Vidrio
Ronhill,Freedom,2024-05-30,250.0,310.0,150.0,5.0,27.0,32.0,4.0,Polivalente,Media,Medio,Alta,Keblar,EVA Convencional,Michelin,
Merrell,MTL Long Sky 2 Matryx,2024-05-27,200.0,250.0,170.0,4.0,26.0,30.0,5.0,Polivalente,Ultra,Ligero,Alta,Keblar,EVA Convencional,Vibram,
Ronhill,Reverence,2024-05-23,255.0,320.0,160.0,5.0,23.0,28.0,7.0,Barro/Blando,Maratón,Medio,Alta,Keblar,EVA Convencional,Michelin,
Scarpa,Golden Gate 2 ATR,2024-05-21,215.0,255.0,165.0,4.0,24.0,28.0,4.0,Polivalente,Larga,Pesado,Media,Hilo,EVA Convencional,,
Brooks,Caldera 7,2024-05-05,266.0,301.0,150.0,6.0,33.0,39.0,,Fácil/Rodador,Ultra,Pesado,Alta,,Supercrítico,Brooks Trailtack,
Brooks,Catamount 3,2024-04-30,238.0,275.0,170.0,6.0,24.0,30.0,,Polivalente,Maratón,Medio,Alta,,Supercrítico,Brooks Trailtack,
Dynafit,Ultra Pro 2,2024-04-21,270.0,310.0,180.0,8.0,27.0,35.0,3.5,Polivalente,Ultra,Pesado,Alta,Hilo,EVA Convencional,Vibram,
Mizuno,Wave Daichi 8,2024-04-18,245.0,300.0,150.0,6.0,26.0,32.0,,Polivalente,Media,Medio,Alta,,TPU,Vibram,Antirrocas
Merrell,Morphlite,2024-04-15,215.0,265.0,110.0,6.0,20.0,28.0,3.0,Fácil/Rodador,Media,Medio,Baja,Hilo,EVA Convencional,,Antirrocas
Salomon,Genesis,2024-04-14,242.0,269.0,150.0,8.0,27.0,33.0,4.0,Polivalente,Larga,Medio,Alta,Keblar,,Salomon Contagrip,
Dynafit,Alpine Pro 2,2024-04-11,240.0,280.0,180.0,6.0,26.0,30.0,4.0,Técnico,Maratón,Pesado,Alta,Malla,,Vibram,Pebax
La Sportiva,Prodigio,2024-04-10,230.0,270.0,159.99,6.0,28.0,34.0,3.5,Polivalente,Larga,Ligero,Media,,EVA Convencional,La Sportiva Frixion,
Atom,Terra 2.0,2024-04-08,270.0,317.0,100.0,8.0,27.0,45.0,4.5,Polivalente,Ultra,Medio,Alta,,,Atom,
Asics,Trabuco 12,2024-04-02,285.0,314.0,160.0,8.0,28.0,36.0,,Polivalente,Larga,Pesado,Alta,Malla,Supercrítico,Asicsgrip,Antirrocas
Altra,Timp 5,2024-03-26,243.0,277.0,160.0,0.0,29.0,29.0,3.0,Polivalente,Maratón,Medio,Alta,Malla,,Vibram,
New Balance,Fresh Foam More Trail v3,2024-03-10,260.0,320.0,170.0,4.0,30.0,34.0,6.0,Fácil/Rodador,Ultra,Pesado,Alta,Tela,EVA Modificada (OBC/Goma),Vibram,
Kailas,Fuga EX 3,2024-02-07,285.0,285.0,162.0,8.0,28.0,36.0,,Polivalente,Larga,Medio,Media,Malla,EVA Convencional,Vibram,Antirrocas
Joma,TR-9,2024-01-28,190.0,190.0,120.0,6.0,20.0,26.0,2.5,Fácil/Rodador,Corta,Ligero,Alta,Hilo,PEBA,,Carbono
The North Face,VECTIV Enduris 3,2024-01-15,257.0,307.0,140.0,6.0,25.0,31.0,3.5,Polivalente,Ultra,Medio,Media,,TPU,The North Face Surface CTRL,TPU
Salomon,S-Lab Ultra,2024-01-14,280.0,280.0,240.0,8.0,29.0,37.0,3.5,Fácil/Rodador,Ultra,Ligero,Alta,Keblar,,Salomon Contagrip,Antirrocas
Merrell,Agility Peak 5 Gore-Tex,2024-01-09,300.0,300.0,190.0,6.0,26.0,31.0,,Polivalente,Ultra,Medio,Alta,Membrana,EVA Convencional,Vibram,
Merrell,Agility Peak 5 Zero Gore-Tex,2023-12-21,360.0,360.0,250.0,6.0,26.0,31.0,5.0,Polivalente,Ultra,Pesado,Alta,Membrana,EVA Convencional,Vibram,
Scarpa,Ribelle Run Kalibra G,2023-12-11,370.0,370.0,249.95,4.0,20.5,24.5,,Técnico,Media,Ligero,Media,,EVA Convencional,,
Hoka,Stinson 7,2023-12-03,305.0,365.0,180.0,5.0,37.0,42.0,,Compacto/Roca,Maratón,Pesado,Alta,Hilo,,,
La Sportiva,Bushido 2,2023-11-30,250.0,300.0,179.99,6.0,19.0,25.0,,Compacto/Roca,Maratón,Medio,Baja,,EVA Convencional,La Sportiva Frixion,
New Balance,Fresh Foam Hierro v7,2023-11-27,235.0,300.0,160.0,8.0,22.0,30.0,4.5,Polivalente,Ultra,Medio,Alta,,EVA Modificada (OBC/Goma),Vibram,
Millet,Intense,2023-11-26,240.0,260.0,180.0,6.0,16.0,22.0,,Técnico,Corta,Ligero,Alta,Keblar,EVA Convencional,Michelin,
Scarpa,Ribelle Run Kalibra HT,2023-11-02,260.0,310.0,189.0,4.0,20.5,24.5,4.0,Compacto/Roca,Corta,Medio,Alta,Malla,EVA Convencional,,
OriocX,Etna 23 Pro,2023-10-30,290.0,290.0,160.0,6.0,19.0,25.0,8.0,Barro/Blando,Corta,Ligero,Alta,Hilo,,,
Topo Athletic,MTN Racer 3,2023-10-19,235.0,286.0,190.0,5.0,28.0,33.0,,Polivalente,Maratón,Medio,Alta,,,Vibram,TPU
New Balance,FuelCell Summit Unknown v4,2023-10-02,236.0,272.0,140.0,6.0,22.0,28.0,,Fácil/Rodador,Media,Medio,Alta,Malla,Supercrítico,Saucony Hydrohesion,
Salomon,S-Lab Genesis,2023-09-26,258.0,258.0,200.0,8.0,25.0,33.0,4.5,Polivalente,Larga,Ligero,Media,Keblar,,Salomon Contagrip,
Salomon,Thundercross,2023-09-19,256.0,290.0,140.0,4.0,27.0,33.0,5.0,Polivalente,Ultra,Medio,Alta,Tela,,Salomon Contagrip,
Asics,FujiSpeed 2,2023-09-18,212.0,243.0,180.0,5.0,28.0,33.0,,Polivalente,Media,Ligero,Media,,EVA Bio/Orgánica,Asicsgrip,Carbono
Mizuno,Wave Rider TT,2023-09-14,240.0,285.0,160.0,12.0,19.0,31.0,3.0,Fácil/Rodador,Media,Medio,Media,Tela,,,
Brooks,Cascadia 17,2023-09-10,278.0,312.0,150.0,8.0,25.0,33.0,3.5,Polivalente,Larga,Pesado,Alta,Malla,Supercrítico,Brooks Trailtack,TPU
Saucony,Endorphin Rift,2023-09-05,226.0,255.0,200.0,6.0,27.0,33.0,4.0,Polivalente,Larga,Ligero,Media,Hilo,TPU,Saucony Pwrtrac,Carbono
Altra,Mont Blanc BOA,2023-08-20,264.0,317.0,230.0,0.0,30.0,30.0,,Polivalente,Ultra,Medio,Alta,Hilo,,Vibram,
Merrell,Antora 3,2023-08-06,250.0,250.0,135.0,8.0,21.0,29.0,5.0,Polivalente,Media,Medio,Alta,Malla,EVA Convencional,Vibram,
Scott,Supertrac Amphib,2023-08-01,260.0,280.0,159.9,5.0,17.5,22.5,,Barro/Blando,Corta,Ligero,Media,Malla,EVA Convencional,,
Scarpa,Spin Planet,2023-07-30,260.0,290.0,149.0,4.0,24.0,28.0,4.0,Polivalente,Ultra,Pesado,Alta,,EVA Convencional,Scarpa Presa,
La Sportiva,Jackal II BOA,2023-07-25,270.0,300.0,204.99,7.0,22.0,29.0,,Compacto/Roca,Ultra,Medio,Alta,,EVA Convencional,La Sportiva Frixion,
Altra,Lone Peak 7,2023-07-20,261.0,314.0,160.0,0.0,25.0,25.0,4.0,Polivalente,Media,Medio,Media,Malla,,Altra Maxtrac,
Dynafit,Ultra 50,2023-07-16,250.0,290.0,150.0,8.0,22.0,30.0,,Polivalente,Ultra,Medio,Alta,Malla,,Pomoca,
New Balance,FuelCell Summit Unknown SG,2023-07-06,221.0,282.0,140.0,6.0,22.0,28.0,6.5,Barro/Blando,Corta,Ligero,Baja,Hilo,Supercrítico,Saucony Hydrohesion,
Evadict,MT Cushion 2,2023-06-29,255.0,295.0,99.99,4.0,18.0,22.0,5.0,Polivalente,Larga,Medio,Alta,Keblar,,,
Salomon,S-Lab Pulsar 2,2023-06-27,178.0,178.0,180.0,6.0,18.0,24.0,2.5,Compacto/Roca,Corta,Ligero,Media,Keblar,EVA Convencional,Salomon Contagrip,
La Sportiva,Cyklon,2023-06-26,260.0,315.0,185.99,7.0,19.5,26.5,7.0,Técnico,Media,Medio,Media,Malla,EVA Convencional,La Sportiva Frixion,TPU
Dynafit,Ultra 100,2023-06-20,269.0,309.0,170.0,6.0,26.0,30.0,4.0,Polivalente,Ultra,Pesado,Alta,Hilo,EVA Convencional,Vibram,
Salomon,Glide Max TR,2023-06-18,251.0,286.0,160.0,6.0,32.0,28.0,3.5,Fácil/Rodador,Larga,Medio,Media,Malla,EVA Convencional,Salomon Contagrip,
La Sportiva,Jackal II,2023-06-15,245.0,275.0,175.99,7.0,22.0,29.0,,Compacto/Roca,Ultra,Ligero,Media,,EVA Convencional,La Sportiva Frixion,
Salomon,Ultra Glide 2,2023-05-29,239.0,278.0,150.0,6.0,26.0,32.0,,Compacto/Roca,Larga,Pesado,Alta,Malla,,Salomon Contagrip,
Joma,Sima 2022,2023-05-28,345.0,345.0,70.0,8.0,20.0,28.0,3.0,Fácil/Rodador,Maratón,Medio,Alta,Hilo,EVA Convencional,,
Merrell,MTL Long Sky 2,2023-05-25,225.0,270.0,145.0,4.0,26.0,30.0,5.0,Polivalente,Ultra,Medio,Media,Hilo,EVA Convencional,Vibram,
Inov-8,Parkclaw G 280,2023-05-18,280.0,280.0,180.0,8.0,12.0,20.0,4.0,Técnico,Maratón,Medio,Alta,,EVA Modificada (OBC/Goma),Inov-8 G-Grip (Grafeno),
Topo Athletic,Pursuit,2023-05-14,244.0,306.0,180.0,0.0,28.0,28.0,,Polivalente,Ultra,Medio,Alta,Tela,,Vibram,
Salomon,S-Lab Ultra 3,2023-05-11,260.0,260.0,200.0,8.0,20.0,28.0,4.0,Polivalente,Ultra,Ligero,Alta,Keblar,EVA Convencional,Salomon Contagrip,Vidrio
Saucony,Xodus Ultra 2,2023-05-10,241.0,272.0,165.0,6.0,26.5,32.5,4.5,Polivalente,Ultra,Medio,Baja,,TPU,Saucony Pwrtrac,Antirrocas
Inov-8,TrailFly G 270 v2,2023-05-08,270.0,270.0,175.0,0.0,21.0,21.0,,Polivalente,Ultra,Ligero,Media,Hilo,EVA Convencional,Inov-8 G-Grip (Grafeno),Carbono
Salomon,Sense Ride 5,2023-05-03,247.0,286.0,130.0,8.0,26.0,32.0,,Fácil/Rodador,Ultra,Medio,Media,,,Salomon Contagrip,
Merrell,MTL Skyfire 2,2023-04-25,165.0,195.0,200.0,6.0,18.0,22.0,5.0,Técnico,Corta,Ligero,Media,,EVA Convencional,Vibram,TPU
Brooks,Catamount 2,2023-04-23,244.0,275.0,170.0,6.0,24.0,30.0,,Polivalente,Maratón,Ligero,Alta,,PEBA,Brooks Trailtack,Pebax
New Balance,FuelCell Summit Unknown v3,2023-04-20,236.0,294.0,140.0,6.0,22.0,28.0,,Barro/Blando,Maratón,Ligero,Baja,,Supercrítico,Saucony Hydrohesion,Antirrocas
Asics,Gel Trabuco 11,2023-04-18,265.0,300.0,160.0,8.0,20.0,28.0,,Polivalente,Ultra,Pesado,Alta,Malla,EVA Bio/Orgánica,Asicsgrip,Antirrocas
New Balance,Fresh Foam Hierro v7 GTX,2023-04-17,262.0,319.0,180.0,8.0,22.0,30.0,4.5,Polivalente,Ultra,Medio,Alta,Membrana,EVA Modificada (OBC/Goma),Vibram,
Topo Athletic,Ultraventure 3,2023-04-13,227.0,278.0,190.0,5.0,30.0,35.0,5.0,Fácil/Rodador,Larga,Medio,Media,Hilo,EVA Convencional,Vibram,Antirrocas
CimAlp,X-Race,2023-03-30,275.0,275.0,149.9,4.0,16.0,20.0,,Polivalente,Media,Medio,Alta,,EVA Convencional,Vibram,Antirrocas
Mizuno,Wave Mujin 9,2023-03-27,288.0,340.0,160.0,10.0,28.0,38.0,2.0,Polivalente,Ultra,Pesado,Alta,Malla,,Michelin,TPU
The North Face,Summit VECTIV Pro,2023-03-21,242.0,287.0,250.0,6.0,26.0,32.0,3.5,Compacto/Roca,Ultra,Ligero,Alta,Malla,EVA Convencional,The North Face Surface CTRL,Carbono
Hoka,Challenger 7,2023-03-16,207.0,252.0,150.0,5.0,26.0,31.0,,Fácil/Rodador,Ultra,Medio,Media,,,Vibram,
New Balance,Fresh Foam Garoé,2023-03-13,244.0,304.0,120.0,8.0,20.0,28.0,2.0,Polivalente,Larga,Pesado,Media,Malla,EVA Modificada (OBC/Goma),Vibram,
Saucony,Peregrine 13,2023-03-09,230.0,260.0,150.0,4.0,26.0,30.0,5.0,Polivalente,Media,Medio,Alta,Malla,TPU,Saucony Pwrtrac,Antirrocas
